Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,S&P-Price,S&P-Open,S&P-High,S&P-Low,NASDAQ-Price,NASDAQ-Open,NASDAQ-High,NASDAQ-Low,NASDAQ-Vol.,DOW-Price,DOW-Open,DOW-High,DOW-Low,DOW-Vol.,GOLD-Price,GOLD-Open,GOLD-High,GOLD-Low,OIL-Price,OIL-Open,OIL-High,OIL-Low
6/9/2019,7949.674805,7975.974121,7583.219727,7688.077148,7688.077148,16610726547,245.540482,245.972824,229.257431,233.0867,233.0867,7566421456,0.003077,0.003218,0.002978,0.003012,0.003012,69438950,"2,873.30","2,852.90","2,885.00","2,852.90","7,742.10","7,652.97","7,767.02","7,647.91",516840000,"25,983.94","25,768.72","26,072.75","25,768.72",263010000,"1,346.10","1,339.70","1,352.70","1,334.30",53.99,53.1,54.32,52.62
6/10/2019,7692.284668,8031.909668,7586.730957,8000.32959,8000.32959,18689275117,232.830139,247.66217,229.341766,247.520126,247.520126,8141159848,0.003014,0.003135,0.002992,0.003091,0.003091,69822843,"2,886.70","2,885.80","2,904.80","2,885.50","7,823.17","7,798.87","7,895.44","7,795.76",522200000,"26,062.68","26,090.22","26,210.61","26,054.31",249280000,"1,329.30","1,341.20","1,341.70","1,329.00",53.26,54.24,54.84,53.05
6/11/2019,8004.243652,8026.394043,7772.803711,7927.714355,7927.714355,17107279932,247.862122,248.662582,239.825348,245.78183,245.78183,7382269700,0.00309,0.003143,0.002998,0.003058,0.003058,65070888,"2,885.70","2,903.30","2,910.60","2,878.50","7,822.57","7,901.04","7,909.99","7,798.63",534580000,"26,048.51","26,180.59","26,248.67","25,998.87",253490000,"1,331.20","1,331.80","1,333.80","1,323.60",53.27,53.43,54.04,52.91
6/12/2019,7925.434082,8196.648438,7862.359863,8145.857422,8145.857422,19034432883,245.925491,261.017578,244.491318,260.90329,260.90329,8645598618,0.003061,0.003094,0.003019,0.003067,0.003067,69543166,"2,879.80","2,882.70","2,888.60","2,874.70","7,792.72","7,803.13","7,819.16","7,773.97",481740000,"26,004.83","26,040.30","26,082.10","25,958.66",223690000,"1,336.80","1,330.60","1,342.30","1,329.80",51.14,53.04,53.05,50.72
6/13/2019,8145.54541,8311.567383,8087.061035,8230.923828,8230.923828,18669407147,260.913513,262.163116,255.596283,256.168793,256.168793,8442077836,0.003063,0.003168,0.00303,0.003074,0.003074,66973694,"2,891.60","2,886.20","2,895.20","2,882.00","7,837.13","7,822.56","7,848.36","7,813.60",460870000,"26,106.77","26,036.94","26,146.91","25,995.71",213400000,"1,343.70","1,337.80","1,347.00","1,335.90",52.28,51.07,53.45,50.92
6/14/2019,8230.898438,8710.636719,8183.393066,8693.833008,8693.833008,19831162906,256.179657,265.371399,254.14743,264.087463,264.087463,8676891267,0.003075,0.003142,0.003037,0.003124,0.003124,59252853,"2,887.00","2,886.80","2,894.40","2,879.60","7,796.66","7,807.19","7,819.21","7,778.12",465370000,"26,089.61","26,076.36","26,162.28","25,988.09",208020000,"1,344.50","1,346.50","1,362.20","1,341.40",52.51,52.18,52.98,51.7
6/15/2019,8689.746094,8859.12793,8618.395508,8838.375,8838.375,18371033226,263.934143,271.505585,262.121216,269.019318,269.019318,8126853944,0.003135,0.003204,0.003097,0.003157,0.003157,63436423,"2,887.00","2,886.80","2,894.40","2,879.60","7,796.66","7,807.19","7,819.21","7,778.12",465370000,"26,089.61","26,076.36","26,162.28","25,988.09",208020000,"1,344.50","1,346.50","1,362.20","1,341.40",52.51,52.18,52.98,51.7
6/16/2019,8841.44043,9335.867188,8814.556641,8994.488281,8994.488281,23348550311,268.901154,278.143188,265.535339,269.223206,269.223206,9676746453,0.003145,0.003336,0.003135,0.003186,0.003186,68789112,"2,887.00","2,886.80","2,894.40","2,879.60","7,796.66","7,807.19","7,819.21","7,778.12",465370000,"26,089.61","26,076.36","26,162.28","25,988.09",208020000,"1,344.50","1,346.50","1,362.20","1,341.40",52.51,52.18,52.98,51.7
6/17/2019,8988.923828,9416.407227,8988.923828,9320.352539,9320.352539,15562951919,269.090576,275.442566,268.35379,274.351105,274.351105,6009795781,0.003188,0.003225,0.003125,0.00319,0.00319,60386666,"2,889.70","2,889.80","2,897.30","2,887.30","7,845.02","7,819.43","7,865.98","7,812.61",502920000,"26,112.53","26,108.53","26,165.78","26,049.80",199500000,"1,342.90","1,345.50","1,347.10","1,336.60",51.93,52.5,52.74,51.58
6/18/2019,9335.466797,9348.374023,9004.901367,9081.762695,9081.762695,15848210536,274.320251,274.320251,263.14444,265.051849,265.051849,6205242504,0.003193,0.003199,0.00311,0.003125,0.003125,54908991,"2,917.80","2,906.70","2,930.80","2,905.40","7,953.88","7,920.98","8,005.21","7,911.67",567690000,"26,465.54","26,228.88","26,527.19","26,227.76",273490000,"1,350.70","1,343.90","1,358.50","1,342.10",53.9,51.95,54.31,51.5
