Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,S&P-Price,S&P-Open,S&P-High,S&P-Low,NASDAQ-Price,NASDAQ-Open,NASDAQ-High,NASDAQ-Low,DOW-Price,DOW-Open,DOW-High,DOW-Low,GOLD-Price,GOLD-Open,GOLD-High,GOLD-Low,OIL-Price,OIL-Open,OIL-High,OIL-Low,Month,Day,Year
2019-05-07,5745.599121,5988.178223,5741.395996,5829.501465,5829.501465,18026409033.0,172.427277,180.394409,169.694717,169.79866,169.79866,8411140170,0.002544,0.002632,0.002536,0.002536,0.002536,38143865,2884.10,2913.00,2913.00,2862.60,7963.76,8043.52,8070.97,7899.02,25965.09,26276.90,26276.90,25789.71,1285.60,1284.10,1287.30,1279.10,61.4,62.17,62.49,60.66,5,7,2019
2019-05-08,5849.481445,5989.980957,5794.71582,5982.45752,5982.45752,15320605300.0,169.904205,172.183548,166.409241,170.948166,170.948166,6416569598,0.002534,0.002572,0.002505,0.002537,0.002537,32200704,2879.40,2879.60,2898.00,2873.30,7943.32,7946.24,8004.49,7923.35,25967.33,25933.79,26118.10,25889.41,1281.40,1287.40,1292.80,1280.20,62.12,61.44,62.37,61.07,5,8,2019
2019-05-09,5982.316406,6183.039063,5982.316406,6174.528809,6174.528809,16784645411.0,170.951874,172.880402,167.247879,170.289307,170.289307,6546914198,0.002536,0.002554,0.002467,0.0025,0.0025,30720237,2870.70,2859.80,2876.00,2836.40,7910.59,7853.21,7929.78,7796.16,25828.36,25878.85,25884.89,25517.39,1285.20,1282.90,1289.20,1280.40,61.7,62.02,62.21,60.92,5,9,2019
2019-05-10,6175.822754,6434.617676,6161.519043,6378.849121,6378.849121,19419875368.0,170.312973,175.885269,168.991425,173.142746,173.142746,8036919053,0.002503,0.002559,0.002449,0.002522,0.002522,32480633,2881.40,2863.10,2891.30,2825.40,7916.94,7881.31,7949.34,7759.34,25942.37,25763.72,26019.32,25469.86,1287.40,1285.10,1290.30,1284.00,61.66,61.64,62.49,61.42,5,10,2019
2019-05-11,6379.666992,7333.00293,6375.69873,7204.771484,7204.771484,28867562329.0,173.139313,203.466644,173.139313,194.304337,194.304337,12578331654,0.002515,0.002799,0.002513,0.002754,0.002754,48521874,2881.40,2863.10,2891.30,2825.40,7916.94,7881.31,7949.34,7759.34,25942.37,25763.72,26019.32,25469.86,1287.40,1285.10,1290.30,1284.00,61.66,61.64,62.49,61.42,5,11,2019
2019-05-12,7203.507324,7503.87207,6815.770996,6972.371582,6972.371582,27773333680.0,194.163025,201.881485,183.653931,187.325317,187.325317,10326050090,0.002757,0.00282,0.002612,0.002665,0.002665,44577097,2881.40,2863.10,2891.30,2825.40,7916.94,7881.31,7949.34,7759.34,25942.37,25763.72,26019.32,25469.86,1287.40,1285.10,1290.30,1284.00,61.66,61.64,62.49,61.42,5,12,2019
2019-05-13,6971.178223,8047.413086,6898.282227,7814.915039,7814.915039,28677672181.0,187.417923,205.098267,185.305908,196.846283,196.846283,10367149039,0.002663,0.002823,0.002649,0.002756,0.002756,47011255,2811.90,2840.20,2840.20,2801.40,7647.02,7720.07,7760.83,7627.23,25324.99,25568.06,25568.06,25222.51,1301.80,1288.40,1302.20,1282.40,61.04,61.65,63.33,60.64,5,13,2019
2019-05-14,7807.884277,8268.712891,7696.391113,7994.416016,7994.416016,32031452227.0,196.738281,217.874649,196.05481,217.148575,217.148575,12751049755,0.002758,0.003199,0.002747,0.003068,0.003068,58434920,2834.40,2820.10,2852.50,2820.10,7734.49,7689.66,7776.20,7665.30,25532.05,25384.03,25688.96,25384.03,1296.30,1302.00,1302.60,1294.30,61.78,60.86,62.11,60.69,5,14,2019
2019-05-15,7989.374512,8216.423828,7899.106934,8205.167969,8205.167969,28344112920.0,217.010117,247.446594,216.822113,247.153061,247.153061,13460006534,0.003073,0.003317,0.003052,0.003308,0.003308,57673254,2851.00,2820.40,2858.70,2815.10,7822.15,7682.80,7838.72,7682.24,25648.02,25400.13,25724.89,25341.94,1297.80,1298.30,1301.70,1293.60,62.02,61.37,62.34,60.85,5,15,2019
2019-05-16,8194.500977,8320.824219,7729.608398,7884.90918,7884.90918,33167197581.0,246.941956,275.39444,245.795288,264.01001,264.01001,18661465873,0.00331,0.003521,0.003114,0.003168,0.003168,68128483,2876.30,2855.80,2892.20,2855.80,7898.05,7832.58,7946.23,7826.67,25862.68,25692.14,25957.63,25692.14,1286.20,1296.90,1299.30,1284.20,62.87,62.12,63.48,62.08,5,16,2019
2019-05-17,7886.925781,7929.145508,7038.124512,7343.895508,7343.895508,30066644905.0,263.848358,266.979614,227.767426,243.764587,243.764587,16037551694,0.003169,0.003186,0.002831,0.002962,0.002962,66495399,2859.50,2858.60,2885.50,2854.20,7816.28,7829.03,7918.71,7810.35,25764.00,25719.95,25948.74,25657.78,1275.70,1287.20,1289.00,1274.60,62.76,63.12,63.64,62.52,5,17,2019
2019-05-18,7341.664551,7447.271973,7251.504395,7271.208008,7271.208008,21354286562.0,243.911301,246.362762,233.099854,234.59523,234.59523,10933142646,0.002966,0.003054,0.002897,0.003005,0.003005,54849676,2859.50,2858.60,2885.50,2854.20,7816.28,7829.03,7918.71,7810.35,25764.00,25719.95,25948.74,25657.78,1275.70,1287.20,1289.00,1274.60,62.76,63.12,63.64,62.52,5,18,2019
