Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,S&P-Price,S&P-Open,S&P-High,S&P-Low,NASDAQ-Price,NASDAQ-Open,NASDAQ-High,NASDAQ-Low,NASDAQ-Vol.,DOW-Price,DOW-Open,DOW-High,DOW-Low,DOW-Vol.,GOLD-Price,GOLD-Open,GOLD-High,GOLD-Low,OIL-Price,OIL-Open,OIL-High,OIL-Low,Month,Day,Year
2019-05-23,7677.269043,7943.791504,7533.196777,7881.84668,7881.84668,24457107820.0,244.665115,247.616638,233.793091,245.965668,245.965668,10671663487,0.002937,0.00298,0.002795,0.002961,0.002961,55428477,2822.2,2836.7,2836.7,2805.5,7628.28,7660.72,7665.15,7585.32,597200000.0,25490.47,25657.99,25657.99,25328.09,316940000.0,1285.4,1273.6,1287.1,1272.1,57.91,61.31,61.41,57.33,5,23,2019
2019-05-24,7881.695313,8140.719727,7824.44873,7987.371582,7987.371582,25919126991.0,245.987091,255.259338,243.240097,249.484985,249.484985,9929433206,0.00296,0.003022,0.002932,0.002995,0.002995,61767497,2826.1,2832.4,2841.4,2820.2,7637.01,7675.57,7694.15,7631.25,422810000.0,25585.69,25551.07,25670.81,25496.2,201370000.0,1283.6,1283.2,1284.7,1280.1,58.63,58.21,59.1,57.5,5,24,2019
2019-05-25,7991.885254,8117.925781,7965.976074,8052.543945,8052.543945,22256813107.0,249.694046,257.356842,249.088791,251.759872,251.759872,8924985385,0.002996,0.003011,0.002958,0.002991,0.002991,58214409,2826.1,2832.4,2841.4,2820.2,7637.01,7675.57,7694.15,7631.25,422810000.0,25585.69,25551.07,25670.81,25496.2,201370000.0,1283.6,1283.2,1284.7,1280.1,58.63,58.21,59.1,57.5,5,25,2019
2019-05-26,8055.206055,8687.520508,7924.67041,8673.21582,8673.21582,26677970091.0,251.724792,269.166534,247.245392,267.069641,267.069641,9664267731,0.002987,0.003115,0.002935,0.003092,0.003092,68909916,2826.1,2832.4,2841.4,2820.2,7637.01,7675.57,7694.15,7631.25,422810000.0,25585.69,25551.07,25670.81,25496.2,201370000.0,1283.6,1283.2,1284.7,1280.1,58.77,58.94,59.0,58.67,5,26,2019
2019-05-27,8674.072266,8907.174805,8668.705078,8805.77832,8805.77832,27949839564.0,267.141876,278.507263,265.444702,272.86264,272.86264,12074664736,0.003099,0.003207,0.003086,0.003141,0.003141,76858482,2826.1,2832.4,2841.4,2820.2,7637.01,7675.57,7694.15,7631.25,422810000.0,25585.69,25551.07,25670.81,25496.2,201370000.0,1277.1,1283.5,1286.9,1275.1,59.16,58.77,59.26,58.14,5,27,2019
2019-05-28,8802.757813,8807.016602,8634.72168,8719.961914,8719.961914,24226919267.0,272.590485,274.320831,267.514374,271.768707,271.768707,10362846898,0.003142,0.003168,0.003071,0.003148,0.003148,67850692,2802.4,2830.0,2840.5,2801.6,7607.35,7655.66,7693.74,7603.76,785600000.0,25347.77,25616.55,25717.63,25342.28,364850000.0,1280.1,1287.2,1289.6,1278.5,59.14,58.94,59.57,58.13,5,28,2019
2019-05-29,8718.591797,8755.852539,8482.728516,8659.487305,8659.487305,23473479966.0,271.779053,273.756287,263.0914,269.455688,269.455688,9819132174,0.003149,0.003151,0.003083,0.003127,0.003127,74244761,2783.0,2790.2,2792.0,2766.1,7547.31,7553.02,7581.11,7503.94,579480000.0,25126.41,25231.46,25231.46,24938.24,298930000.0,1281.0,1278.9,1285.2,1278.4,58.81,59.07,59.14,56.88,5,29,2019
2019-05-30,8661.760742,9008.314453,8221.273438,8319.472656,8319.472656,29246528551.0,269.55188,287.20163,247.348602,255.858948,255.858948,13604268584,0.003125,0.0036,0.00311,0.003258,0.003258,97252491,2788.9,2786.9,2799.0,2776.7,7567.72,7565.46,7595.9,7527.66,454610000.0,25169.88,25139.94,25218.54,25066.75,215240000.0,1292.4,1285.1,1293.9,1279.2,56.59,59.12,59.7,56.33,5,30,2019
2019-05-31,8320.286133,8586.65918,8172.550781,8574.501953,8574.501953,25365190957.0,256.015259,268.659943,249.111847,268.113556,268.113556,11255023515,0.003256,0.003443,0.003172,0.003441,0.003441,85204091,2752.1,2766.2,2769.0,2750.5,7453.15,7470.95,7506.86,7448.23,590430000.0,24815.04,25046.31,25046.31,24809.51,292230000.0,1311.1,1293.2,1311.9,1292.5,53.5,56.46,56.61,53.05,5,31,2019
2019-06-01,8573.839844,8625.600586,8481.578125,8564.016602,8564.016602,22488303544.0,268.43335,273.557983,263.524597,265.391266,265.391266,9942869852,0.003443,0.00352,0.00336,0.003419,0.003419,85093279,2752.1,2766.2,2769.0,2750.5,7453.15,7470.95,7506.86,7448.23,590430000.0,24815.04,25046.31,25046.31,24809.51,292230000.0,1311.1,1293.2,1311.9,1292.5,53.5,56.46,56.61,53.05,6,1,2019
